Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
SUB03, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
14.77, 0, 2.76, 22,                              0, 2.76, 20,                              0, 2.76, 118, 0.0,                              45
14.82, 0, 2.81, 23,                              0, 2.81, 20,                              0, 2.81, 120, 0.0,                              45
14.87, 0, 2.86, 23,                              0, 2.86, 21,                              0, 2.86, 122, 0.0,                              45
14.91, 0, 2.9, 24,                              0, 2.9, 21,                              0, 2.9, 124, 0.0,                              45
14.96, 0, 2.95, 24,                              0, 2.95, 21,                              0, 2.95, 126, 0.0,                              45
15.0, 0, 2.99, 24,                              0, 2.99, 22,                              0, 2.99, 128, 0.0,                              45
15.05, 0, 3.03, 25,                              0, 3.03, 22,                              0, 3.03, 130, 0.0,                              45
15.09, 0, 3.08, 25,                              0, 3.08, 22,                              0, 3.08, 132, 0.0,                              45
15.13, 0, 3.12, 25,                              0, 3.12, 23,                              0, 3.12, 134, 0.0,                              45
15.18, 0, 3.16, 26,                              0, 3.16, 23,                              0, 3.16, 136, 0.0,                              45
15.22, 0, 3.21, 26,                              0, 3.21, 23,                              0, 3.21, 138, 0.0,                              45
15.27, 0, 3.25, 27,                              0, 3.25, 24,                              0, 3.25, 140, 0.0,                              45
15.31, 0, 3.29, 27,                              0, 3.29, 24,                              0, 3.29, 141, 0.0,                              45
15.35, 0, 3.34, 27,                              0, 3.34, 24,                              0, 3.34, 143, 0.0,                              45
15.39, 0, 3.38, 28,                              0, 3.38, 25,                              0, 3.38, 145, 0.0,                              45
15.44, 0, 3.42, 28,                              0, 3.42, 25,                              0, 3.42, 147, 0.0,                              45
15.48, 0, 3.47, 28,                              0, 3.47, 25,                              0, 3.47, 149, 0.0,                              45
15.52, 0, 3.51, 29,                              0, 3.51, 26,                              0, 3.51, 151, 0.0,                              45
15.57, 0, 3.56, 29,                              0, 3.56, 26,                              0, 3.56, 153, 0.0,                              45
15.61, 0, 3.6, 30,                              0, 3.6, 26,                              0, 3.6, 155, 0.0,                              45
15.66, 0, 3.64, 30,                              0, 3.64, 27,                              0, 3.64, 157, 0.0,                              45
15.7, 0, 3.69, 30,                              0, 3.69, 27,                              0, 3.69, 158, 0.0,                              45
15.75, 0, 3.73, 31,                              0, 3.73, 27,                              0, 3.73, 160, 0.0,                              45
15.79, 0, 3.78, 31,                              0, 3.78, 28,                              0, 3.78, 162, 0.0,                              45
15.83, 0, 3.82, 31,                              0, 3.82, 28,                              0, 3.82, 164, 0.0,                              45
