Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
Bars, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
14.78, 0, 2.77, 23,                              0, 2.77, 20,                              0, 2.77, 119, 0.0,                              0
14.83, 0, 2.82, 23,                              0, 2.82, 20,                              0, 2.82, 121, 0.0,                              0
14.87, 0, 2.86, 23,                              0, 2.86, 21,                              0, 2.86, 123, 0.0,                              0
14.91, 0, 2.9, 24,                              0, 2.9, 21,                              0, 2.9, 124, 0.0,                              0
14.96, 0, 2.94, 24,                              0, 2.94, 21,                              0, 2.94, 126, 0.0,                              0
15.0, 0, 2.99, 24,                              0, 2.99, 22,                              0, 2.99, 128, 0.0,                              0
15.04, 0, 3.03, 25,                              0, 3.03, 22,                              0, 3.03, 130, 0.0,                              0
15.08, 0, 3.07, 25,                              0, 3.07, 22,                              0, 3.07, 132, 0.0,                              0
15.12, 0, 3.11, 25,                              0, 3.11, 23,                              0, 3.11, 134, 0.0,                              0
15.17, 0, 3.16, 26,                              0, 3.16, 23,                              0, 3.16, 135, 0.0,                              0
15.21, 0, 3.2, 26,                              0, 3.2, 23,                              0, 3.2, 137, 0.0,                              0
15.26, 0, 3.24, 27,                              0, 3.24, 24,                              0, 3.24, 139, 0.0,                              0
15.3, 0, 3.29, 27,                              0, 3.29, 24,                              0, 3.29, 141, 0.0,                              0
15.34, 0, 3.33, 27,                              0, 3.33, 24,                              0, 3.33, 143, 0.0,                              0
15.39, 0, 3.38, 28,                              0, 3.38, 25,                              0, 3.38, 145, 0.0,                              0
15.43, 0, 3.42, 28,                              0, 3.42, 25,                              0, 3.42, 147, 0.0,                              0
15.48, 0, 3.47, 28,                              0, 3.47, 25,                              0, 3.47, 149, 0.0,                              0
15.52, 0, 3.51, 29,                              0, 3.51, 26,                              0, 3.51, 151, 0.0,                              0
15.57, 0, 3.56, 29,                              0, 3.56, 26,                              0, 3.56, 153, 0.0,                              0
15.61, 0, 3.6, 30,                              0, 3.6, 26,                              0, 3.6, 155, 0.0,                              0
15.67, 0, 3.66, 30,                              0, 3.66, 27,                              0, 3.66, 157, 0.0,                              0
15.71, 0, 3.7, 30,                              0, 3.7, 27,                              0, 3.7, 159, 0.0,                              0
15.76, 0, 3.74, 31,                              0, 3.74, 27,                              0, 3.74, 161, 0.0,                              0
15.8, 0, 3.79, 31,                              0, 3.79, 28,                              0, 3.79, 163, 0.0,                              0
15.84, 0, 3.83, 31,                              0, 3.83, 28,                              0, 3.83, 165, 0.0,                              0
15.88, 0, 3.87, 32,                              0, 3.87, 28,                              0, 3.87, 166, 0.0,                              0
15.92, 0, 3.91, 32,                              0, 3.91, 29,                              0, 3.91, 168, 0.0,                              0
15.97, 0, 3.95, 33,                              0, 3.95, 29,                              0, 3.95, 170, 0.0,                              0
